product_key,stored_name,original_name,path,mime_type,extension,size_bytes,checksum_sha256,width,height,alt_text,sort_order,is_primary
MAZAK-LASER-NOZZLE,aa0650afabc8c1a5fcc0581f07de23d249e59412c3b81131839e5c25fab1956a.jpg,mazak-laser-nozzle-1000x1000.jpg,products/aa0650afabc8c1a5fcc0581f07de23d249e59412c3b81131839e5c25fab1956a.jpg,image/jpeg,jpg,112626,aa0650afabc8c1a5fcc0581f07de23d249e59412c3b81131839e5c25fab1956a,986,1000,Mazak Laser Nozzle,0,true
MAZAK-LASER-NOZZLE,27d6e0b6391b5e8224c6da0531be64ada4b1239f01a69a53ec16b51f0dfb3692.jpg,product-jpeg-500x500.jpg,products/27d6e0b6391b5e8224c6da0531be64ada4b1239f01a69a53ec16b51f0dfb3692.jpg,image/jpeg,jpg,29757,27d6e0b6391b5e8224c6da0531be64ada4b1239f01a69a53ec16b51f0dfb3692,500,448,Mazak Laser Nozzle,10,false
MAZAK-LASER-NOZZLE,2eec45ce80c66c7663acc3ca49909bd02f279e8ca11afe1597271e08c2f6d0e2.jpg,mazak-laser-nozzle-1000x1000.jpg,products/2eec45ce80c66c7663acc3ca49909bd02f279e8ca11afe1597271e08c2f6d0e2.jpg,image/jpeg,jpg,85689,2eec45ce80c66c7663acc3ca49909bd02f279e8ca11afe1597271e08c2f6d0e2,986,1000,Mazak Laser Nozzle,20,false
MAZAK-LASER-NOZZLE,36f87d2cf716bba49fbb43445c4dccc422fa0ff3ba0e1c098209b094e2e98523.jpg,mazak-laser-nozzle-1000x1000.jpg,products/36f87d2cf716bba49fbb43445c4dccc422fa0ff3ba0e1c098209b094e2e98523.jpg,image/jpeg,jpg,28105,36f87d2cf716bba49fbb43445c4dccc422fa0ff3ba0e1c098209b094e2e98523,1000,712,Mazak Laser Nozzle,30,false
ZAP-IT-LASER-ALIGNMENT-PAPER,54b75c464557c8b395dc38bee1aa9c5c1888912ca0c4eff4bd1b9200adaae0b7.webp,zap-it-laser-alignment-paper-4-x-8-inches-1000x1000.webp,products/54b75c464557c8b395dc38bee1aa9c5c1888912ca0c4eff4bd1b9200adaae0b7.webp,image/webp,webp,44145,54b75c464557c8b395dc38bee1aa9c5c1888912ca0c4eff4bd1b9200adaae0b7,811,1000,Zap IT Laser Alignment Paper,0,true
ZAP-IT-LASER-ALIGNMENT-PAPER,cff39de71242a0bfed98eb5333d336063adf0724093c694928d747f56de8c05b.jpg,zap-it-laser-alignment-paper-4-x-8-inches-1000x1000.jpg,products/cff39de71242a0bfed98eb5333d336063adf0724093c694928d747f56de8c05b.jpg,image/jpeg,jpg,37379,cff39de71242a0bfed98eb5333d336063adf0724093c694928d747f56de8c05b,565,544,Zap IT Laser Alignment Paper,10,false
ZAP-IT-LASER-ALIGNMENT-PAPER,0b55d2f3845399b069c12dfe4103c7eb888ca3555206f97b3c1aeec294e7b68f.jpg,zap-it-laser-alignment-paper-4-x-8-inches-500x500.jpg,products/0b55d2f3845399b069c12dfe4103c7eb888ca3555206f97b3c1aeec294e7b68f.jpg,image/jpeg,jpg,15319,0b55d2f3845399b069c12dfe4103c7eb888ca3555206f97b3c1aeec294e7b68f,363,500,Zap IT Laser Alignment Paper,20,false
ZAP-IT-LASER-ALIGNMENT-PAPER,a240c3fc5700fd467a20510923aa28e053e7e6619e18109d005f9b324e7bc381.jpeg,zap-it-laser-alignment-paper-4-x-8-inches-1000x1000.jpeg,products/a240c3fc5700fd467a20510923aa28e053e7e6619e18109d005f9b324e7bc381.jpeg,image/jpeg,jpeg,23613,a240c3fc5700fd467a20510923aa28e053e7e6619e18109d005f9b324e7bc381,538,742,Zap IT Laser Alignment Paper,30,false
ZAP-IT-LASER-ALIGNMENT-PAPER,e2379d5fe3c2c0371a5d802c8429c28ee83efb40582bccc0cbbdd0fa2d2c2043.webp,zap-it-laser-alignment-paper-4-x-8-inches-1000x1000.webp,products/e2379d5fe3c2c0371a5d802c8429c28ee83efb40582bccc0cbbdd0fa2d2c2043.webp,image/webp,webp,41341,e2379d5fe3c2c0371a5d802c8429c28ee83efb40582bccc0cbbdd0fa2d2c2043,800,1000,Zap IT Laser Alignment Paper,40,false
ZAP-IT-LASER-ALIGNMENT-PAPER,ba7a50f199b172037e76b911c0b1a6adf910edfd695187c230c3ea9a8848b280.webp,zap-it-laser-alignment-paper-4-x-8-inches-1000x1000.webp,products/ba7a50f199b172037e76b911c0b1a6adf910edfd695187c230c3ea9a8848b280.webp,image/webp,webp,41549,ba7a50f199b172037e76b911c0b1a6adf910edfd695187c230c3ea9a8848b280,740,1000,Zap IT Laser Alignment Paper,50,false
LASER-MACHINE-BELLOW-COVER,473ef5247fb1db1e30185522eb690d74a16dc81003c8e8d7272dd4f5e81ef431.jpg,laser-machine-bellow-cover-1000x1000.jpg,products/473ef5247fb1db1e30185522eb690d74a16dc81003c8e8d7272dd4f5e81ef431.jpg,image/jpeg,jpg,76265,473ef5247fb1db1e30185522eb690d74a16dc81003c8e8d7272dd4f5e81ef431,998,1000,Laser Machine Bellow Cover,0,true
LASER-MACHINE-BELLOW-COVER,e9187d43072bf3708c64beb8dbd3dc2ddd147c09d341378d2f332cc5ea6391a1.jpg,product-jpeg-500x500.jpg,products/e9187d43072bf3708c64beb8dbd3dc2ddd147c09d341378d2f332cc5ea6391a1.jpg,image/jpeg,jpg,53638,e9187d43072bf3708c64beb8dbd3dc2ddd147c09d341378d2f332cc5ea6391a1,481,500,Laser Machine Bellow Cover,10,false
LASER-MACHINE-BELLOW-COVER,97ddb157505f09179a976226855edb2d4843f9e1970d2f9760b52cec768015f5.jpeg,laser-machine-bellow-cover-1000x1000.jpeg,products/97ddb157505f09179a976226855edb2d4843f9e1970d2f9760b52cec768015f5.jpeg,image/jpeg,jpeg,212568,97ddb157505f09179a976226855edb2d4843f9e1970d2f9760b52cec768015f5,1000,750,Laser Machine Bellow Cover,20,false
LASER-MACHINE-BELLOW-COVER,91f05ffb8edb3a4527d66af76ead2f55463870e9ad17af73a056b9a5f636c872.png,laser-machine-bellow-cover-1000x1000.png,products/91f05ffb8edb3a4527d66af76ead2f55463870e9ad17af73a056b9a5f636c872.png,image/png,png,391089,91f05ffb8edb3a4527d66af76ead2f55463870e9ad17af73a056b9a5f636c872,1000,882,Laser Machine Bellow Cover,30,false
